member_id,loan_amnt,funded_amnt_inv,term,int_rate,installment,grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,desc,purpose,title,addr_state,last_pymnt_d,last_pymnt_amnt
1296599,5000,4975, 36 months,10.65,162.87,B,,10+ years,RENT,24000,Verified,Dec-2011,Fully Paid,  Borrower added on 12/22/11 > I need to upgrade my business technologies.<br>,credit_card,Computer,AZ,Jan-2015,171.62
1314167,2500,2500, 60 months,15.27,59.83,C,Ryder,< 1 year,RENT,30000,Source Verified,Dec-2011,Charged Off,  Borrower added on 12/22/11 > I plan to use this money to finance the motorcycle i am looking at. I plan to have it paid off as soon as possible/when i sell my old bike. I only need this money because the deal im looking at is to good to pass up.<br><br>  Borrower added on 12/22/11 > I plan to use this money to finance the motorcycle i am looking at. I plan to have it paid off as soon as possible/when i sell my old bike.I only need this money because the deal im looking at is to good to pass up. I have finished college with an associates degree in business and its takingmeplaces<br>,car,bike,GA,Apr-2013,119.66
1313524,2400,2400, 36 months,15.96,84.33,C,,10+ years,RENT,12252,Not Verified,Dec-2011,Fully Paid,,small_business,real estate business,IL,Jun-2014,649.91
1277178,10000,10000, 36 months,13.49,339.31,C,AIR RESOURCES BOARD,10+ years,RENT,49200,Source Verified,Dec-2011,Fully Paid,"  Borrower added on 12/21/11 > to pay for property tax (borrow from friend, need to pay back) & central A/C need to be replace. I'm very sorry to let my loan expired last time.<br>",other,personel,CA,Jan-2015,357.48
1311748,3000,3000, 60 months,12.69,67.79,B,University Medical Group,1 year,RENT,80000,Source Verified,Dec-2011,Current,"  Borrower added on 12/21/11 > I plan on combining three large interest bills together and freeing up some extra each month to pay toward other bills.  I've always been a good payor but have found myself needing to make adjustments to my budget due to a medical scare. My job is very stable, I love it.<br>",other,Personal,OR,Jan-2016,67.79
1311441,5000,5000, 36 months,7.9,156.46,A,Veolia Transportaton,3 years,RENT,36000,Source Verified,Dec-2011,Fully Paid,,wedding,My wedding loan I promise to pay back,AZ,Jan-2015,161.03
1304742,7000,7000, 60 months,15.96,170.08,C,Southern Star Photography,8 years,RENT,47004,Not Verified,Dec-2011,Current,"  Borrower added on 12/18/11 > I am planning on using the funds to pay off two retail credit cards with 24.99% interest rates, as well as a major bank credit card with a 18.99% rate.  I pay all my bills on time, looking for a lower combined payment and lower monthly payment.<br>",debt_consolidation,Loan,NC,Jan-2016,170.08
1288686,3000,3000, 36 months,18.64,109.43,E,MKC Accounting ,9 years,RENT,48000,Source Verified,Dec-2011,Fully Paid,  Borrower added on 12/16/11 > Downpayment for a car.<br>,car,Car Downpayment,CA,Jan-2015,111.34
1306957,5600,5600, 60 months,21.28,152.39,F,,4 years,OWN,40000,Source Verified,Dec-2011,Charged Off,  Borrower added on 12/21/11 > I own a small home-based judgment collection business. I have 5 years experience collecting debts. I am now going from a home office to a small office. I also plan to buy a small debt portfolio (eg. $10K for $1M of debt) <br>My score is not A+ because I own my home and have no mortgage.<br>,small_business,Expand Business & Buy Debt Portfolio,CA,Apr-2012,152.39
1306721,5375,5350, 60 months,12.69,121.45,B,Starbucks,< 1 year,RENT,15000,Verified,Dec-2011,Charged Off,"  Borrower added on 12/16/11 > I'm trying to build up my credit history. I live with my brother and have no car payment or credit cards. I am in community college and work full time. Im going to use the money to make some repairs around the house and get some maintenance done on my car.<br><br>  Borrower added on 12/20/11 > $1000 down only $4375 to go. Thanks to everyone that invested so far, looking forward to surprising my brother with the fixes around the house.<br>",other,Building my credit history.,TX,Nov-2012,121.45
